0,4,165,-97,66,145,100,61,31
1,4,165,-97,66,145,100,61,31
2,3,165,-97,66,145,99,62,32
3,3,166,-97,66,145,99,63,32
4,3,166,-97,66,145,99,63,32
5,4,163,-97,65,146,100,60,30
6,2,162,-99,63,147,100,61,31
7,2,162,-99,63,147,100,61,31
8,3,165,-97,66,145,99,62,32
9,4,165,-97,66,145,100,61,31
10,4,165,-97,66,145,100,61,31
11,3,165,-97,66,145,99,62,32
12,4,166,-96,67,145,99,62,32
13,4,166,-96,67,145,99,62,32
14,4,164,-97,66,145,100,61,31
15,4,166,-96,67,145,99,62,32
16,4,166,-96,67,145,99,62,32
17,10,163,-95,69,144,102,57,29
18,17,163,-91,73,141,105,52,26
19,17,163,-91,73,141,105,52,26
20,22,161,-90,75,140,107,48,24
21,24,159,-90,75,140,108,46,23
22,24,159,-90,75,140,108,46,23
23,26,159,-88,77,138,108,44,22
24,27,159,-88,77,138,108,44,22
25,37,154,-84,82,135,112,34,16
26,37,154,-84,82,135,112,34,16
27,48,155,-76,89,130,113,30,14
28,53,155,-73,92,128,114,28,13
29,53,155,-73,92,128,114,28,13
30,56,155,-71,93,127,114,26,12
31,58,158,-68,95,125,114,28,13
32,58,158,-68,95,125,114,28,13
33,58,161,-67,96,124,113,31,15
34,51,166,-70,94,126,111,38,18
35,42,170,-74,90,129,108,45,22
36,42,170,-74,90,129,108,45,22
37,36,173,-77,88,131,106,50,25
38,29,171,-82,84,134,105,52,26
39,29,171,-82,84,134,105,52,26
40,21,168,-87,78,138,104,54,27
41,15,168,-90,74,140,102,57,29
42,15,168,-90,74,140,102,57,29
43,2,160,-99,62,147,101,59,30
44,-14,161,-104,53,152,94,70,36
45,-26,153,-110,40,160,91,74,39
46,-26,153,-110,40,160,91,74,39
47,-46,147,-115,24,168,81,85,46
48,-60,139,-117,10,175,73,92,51
49,-72,130,-117,-4,181,65,97,56
50,-72,130,-117,-4,181,65,97,56
51,-83,122,-116,-15,187,57,102,60
52,-91,111,-114,-28,193,50,106,64
53,-98,103,-111,-37,198,43,109,68
54,-98,103,-111,-37,198,43,109,68
55,-104,97,-108,-44,202,36,111,72
56,-109,88,-104,-53,207,30,113,75
57,-118,79,-100,-61,211,18,116,81
58,-118,79,-100,-61,211,18,116,81
59,-125,68,-94,-70,216,7,117,86
60,-126,55,-85,-80,223,1,117,89
61,-126,55,-85,-80,223,1,117,89
62,-137,50,-85,-81,223,-13,116,96
63,-134,40,-76,-89,229,-15,116,97
64,-124,37,-70,-93,233,-8,117,93
65,-124,37,-70,-93,233,-8,117,93
66,-112,41,-70,-94,233,7,117,86
67,-94,51,-76,-89,229,33,112,73
68,-94,51,-76,-89,229,33,112,73
69,-76,66,-90,-74,219,61,100,58
70,-69,82,-103,-55,208,72,93,52
71,-69,82,-103,-55,208,72,93,52
72,-63,97,-112,-35,197,78,87,48
73,-62,115,-116,-15,187,76,89,49
74,-62,115,-116,-15,187,76,89,49
75,-66,126,-117,-6,182,71,93,52
76,-67,127,-117,-5,182,70,94,53
77,-67,127,-117,-5,182,70,94,53
78,-67,128,-117,-4,181,70,94,53
79,-68,128,-117,-4,181,69,95,54
80,-67,126,-117,-6,182,70,94,53
81,-67,126,-117,-6,182,70,94,53
82,-68,128,-117,-4,181,69,95,54
83,-67,129,-117,-3,181,70,94,53
84,-67,126,-117,-6,182,70,94,53
85,-67,126,-117,-6,182,70,94,53
86,-64,130,-117,-1,180,72,92,51
87,-53,131,-117,5,177,80,85,46
88,-43,134,-116,14,173,87,79,42
89,-43,134,-116,14,173,87,79,42
90,-40,138,-115,19,170,87,78,41
91,-39,139,-115,20,170,88,77,41
92,-39,139,-115,20,170,88,77,41
93,-38,141,-115,23,168,88,77,41
94,-34,143,-114,27,166,90,75,39
95,-34,143,-114,27,166,90,75,39
96,-34,146,-113,29,165,89,76,40
97,-32,144,-113,29,165,90,74,39
98,-32,144,-113,29,165,90,74,39
99,-30,147,-112,33,163,91,74,39
100,-26,149,-111,37,161,92,72,38
101,-26,149,-111,37,161,92,72,38
102,-25,149,-111,37,161,93,71,37
103,-24,145,-112,35,162,95,69,35
104,-24,145,-112,35,162,95,69,35
105,-25,149,-111,37,161,93,71,37
106,-25,150,-111,38,161,92,72,38
107,-25,150,-111,38,161,92,72,38
108,-21,153,-109,43,158,93,71,37
109,-19,152,-109,43,158,95,69,35
110,-19,152,-109,43,158,95,69,35
111,-19,152,-109,43,158,95,69,35
112,-20,154,-108,44,157,93,70,36
113,-20,154,-108,44,157,93,70,36
114,-17,156,-107,47,156,94,69,36
115,-15,158,-106,50,154,94,69,36
116,-15,158,-106,50,154,94,69,36
117,-14,157,-106,50,154,95,68,35
118,-14,156,-106,49,155,96,67,34
119,-14,156,-106,49,155,96,67,34
120,-14,158,-105,51,154,95,68,35
121,-14,158,-105,51,154,95,68,35
122,-11,156,-105,51,154,97,65,33
123,-9,157,-104,53,152,98,65,33
124,-9,157,-104,53,152,98,65,33
125,-5,155,-104,54,152,100,61,31
126,-4,156,-103,56,151,100,61,31
127,-4,155,-103,55,151,100,60,30
